회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,부실기업여부
디아크,2013,-3.445794409,-99.87236098,2.787378816,164.1788963,205.1856229,0
동일기연,2013,81.10586552,95.34208948,6.927963228,870.7612677,50.43292932,0
디에이피,2013,-16.19968776,30.09729319,11.85443557,157.3894952,133.0101164,0
동원개발,2013,79.53620782,56.76248396,11.44315842,336.7821082,82.21775121,0
동우팜투테이블,2013,35.2705973,60.86139587,8.201233207,493.9538735,165.2599493,0
드림어스컴퍼니,2013,51.9802974,-23.7406789,-14.05257149,240.9216253,221.1027298,0
듀오백,2013,37.1232486,65.4140868,1.725242009,789.19995,78.38343918,0
파트론,2013,5.084820592,46.35266999,21.47611773,217.3865357,195.6247642,0
데브시스터즈,2014,93.5655951,23.65380575,16.2263073,2482.575245,34.14430894,0
씨제이프레시웨이,2014,-9.483097625,6.609807095,4.383705258,140.879667,266.7171238,0
슈피겐코리아,2014,77.32789127,44.0310987,27.90289795,796.1185876,98.54697077,0
포스코아이씨티,2014,11.07132585,10.47375002,5.796039395,188.9078683,129.1785864,0
코나아이,2014,28.69885685,34.8002296,9.117879107,242.5266961,69.88076001,0
리노공업,2014,54.13020128,89.668508,19.64148528,1614.633259,56.08311997,0
하이록코리아,2014,54.76276664,70.31679927,15.02862031,539.2195971,63.17686266,0
리더스코스메틱,2014,20.27331582,29.04372136,20.05293053,293.7416056,123.7264479,0
케이지이니시스,2014,20.90632987,21.54967117,4.349057548,171.6999522,97.42256284,0
리드코프,2014,36.66411678,25.44143728,6.768107531,150.9394391,54.58728171,0
부방,2014,15.25768606,58.4077798,7.731066094,361.1302438,162.8975467,0
국영지앤엠,2015,24.08842085,29.64703245,-1.631179831,432.2232077,62.95010474,0
웹젠,2015,37.49926349,25.4783619,26.57777417,361.5358833,87.23639453,0
나스미디어,2015,38.6867316,30.64002969,8.250248547,196.3010751,32.09596545,0
컴투스,2015,75.44561807,48.61856644,27.97930021,795.9170709,74.47111538,0
아난티,2015,11.70562682,9.469159432,5.430388661,204.5949578,22.7280094,0
리노공업,2015,50.85498894,90.74677132,19.11957131,1848.142233,52.81671169,0
